# SPID Algorithm Proof-of-Concept 0.4.6
# Created by Erik Hjelmvik - erik.hjelmvik at gmail.com
# http://sourceforge.net/projects/spid 
# 
# Parsing file: C:\Users\jan.pluskal\sources\netfoxframework\Netfox.Framework2\TestingData\pcap_mix\http.cap
# SPID start: 1406123761.727597000
# SPID stop: 1406123768.214892000
# Total time: 00:00:06.4872952
# 
# Total number of sessions: 1228
# 
# Identified protocols summary:
# [protocolName]	[numberOfSessions]
# DNS	757
# HTTP	450
# SSL	17
# UNKNOWN	4
# 
# 
# Configuration:
# config/divergenceThreshold: 2.04
# config/maxSimultaneousSessions: 1000
# config/maxFramesToInspectPerSession: 20
# config/displayAllProtocolModelDivergences: true
# config/timestampFormat: UNIX_TIME
# config/displayLogFile: true
# config/appendUnidirectionalSessions: false
# config/attributeMeters/attributeMeter/AccumulatedDirectionBytesMeter: active
# config/attributeMeters/attributeMeter/ActionReactionFirst3ByteHashMeter: active
# config/attributeMeters/attributeMeter/ByteBitValueMeter: -
# config/attributeMeters/attributeMeter/ByteFrequencyMeter: active
# config/attributeMeters/attributeMeter/ByteFrequencyOfFirstPacketBytesMeter: active
# config/attributeMeters/attributeMeter/BytePairsReocurringCountIn32FirstBytesMeter: active
# config/attributeMeters/attributeMeter/BytePairsReocurringIn32FirstBytesMeter: -
# config/attributeMeters/attributeMeter/BytePairsReocurringOffsetsIn32FirstBytesMeter: -
# config/attributeMeters/attributeMeter/ByteValueOffsetHashOfFirst32BytesInFirst4PacketsMeter: active
# config/attributeMeters/attributeMeter/DirectionByteFrequencyMeter: -
# config/attributeMeters/attributeMeter/DirectionPacketLengthDistributionMeter: active
# config/attributeMeters/attributeMeter/DirectionPacketSizeChange: -
# config/attributeMeters/attributeMeter/First2OrderedFirst4CharWordsMeter: -
# config/attributeMeters/attributeMeter/First2OrderedFirstBitPositionsMeter: active
# config/attributeMeters/attributeMeter/First2OrderedPacketsFirstNByteNibblesMeter: -
# config/attributeMeters/attributeMeter/First2PacketsFirst16ByteHashCountsMeter: -
# config/attributeMeters/attributeMeter/First2PacketsFirst3ByteHashAndPacketLengthMeter: -
# config/attributeMeters/attributeMeter/First2PacketsFirst8ByteHashDirectionCountsMeter: active
# config/attributeMeters/attributeMeter/First2PacketsPerDirectionFirst5BytesDifferencesMeter: -
# config/attributeMeters/attributeMeter/First4DirectionFirstNByteNibblesMeter: -
# config/attributeMeters/attributeMeter/First4OrderedDirectionFirstNByteNibblesMeter: active
# config/attributeMeters/attributeMeter/First4OrderedDirectionInterPacketDelayMeter: -
# config/attributeMeters/attributeMeter/First4OrderedDirectionPacketSizeMeter: -
# config/attributeMeters/attributeMeter/First4PacketsByteFrequencyMeter: active
# config/attributeMeters/attributeMeter/First4PacketsByteReoccurringDistanceWithByteHashMeter: -
# config/attributeMeters/attributeMeter/First4PacketsFirst16BytePairsMeter: -
# config/attributeMeters/attributeMeter/First4PacketsFirst32BytesEqualityMeter: active
# config/attributeMeters/attributeMeter/FirstBitPositionsMeter: active
# config/attributeMeters/attributeMeter/FirstPacketPerDirectionFirstNByteNibblesMeter: -
# config/attributeMeters/attributeMeter/FirstServerPacketFirstBitPositionsMeter: active
# config/attributeMeters/attributeMeter/NibblePositionFrequencyMeter: -
# config/attributeMeters/attributeMeter/NibblePositionPopularityMeter: active
# config/attributeMeters/attributeMeter/PacketLengthDistributionMeter: -
# config/attributeMeters/attributeMeter/PacketPairLengthPrimesMeter: -
# 
# 
# Protocol models:
# [protocolName]	[trainingSessionsCount]	[observationCount]
# BitTorrent	36	294
# DNS	41	154
# eDonkey	34	333
# eDonkeyTCPObfuscation	2646	27440
# eDonkeyUDPObfuscation	2794	8491
# FTP	73	885
# HTTP	121	812
# IMAP	13	113
# IRC	32	308
# ISAKMP	22	175
# MSE	2113	24208
# MSN	23	227
# POP	26	262
# SkypeTCP	683	6662
# SkypeUDP	4617	19920
# SMTP	27	296
# SpotifyP2P	3294	51378
# SpotifyServer	50	675
# SSH	54	577
# SSL	81	734
# 
# 
# [clientIp]	[clientPort]	[serverIp]	[serverPort]	[sessionStartTime]	[inspectedFramesWithPayload]	[identifiedProtocol]
192.168.1.1	TCP 2923	77.75.76.3	TCP 80	1375985421.952749000	11	HTTP
192.168.1.1	TCP 2924	77.75.76.3	TCP 80	1375985421.991412000	11	HTTP
192.168.1.1	TCP 2926	77.75.76.3	TCP 80	1375985421.993236000	12	HTTP
192.168.1.1	TCP 2927	77.75.76.3	TCP 80	1375985421.994608000	12	HTTP
192.168.1.1	TCP 2925	77.75.76.3	TCP 80	1375985421.991593000	11	HTTP
192.168.1.1	TCP 2928	77.75.76.3	TCP 80	1375985421.999766000	12	HTTP
192.168.1.1	TCP 2931	77.75.73.9	TCP 80	1375985422.018513000	7	HTTP
192.168.1.1	TCP 2929	77.75.72.72	TCP 80	1375985422.016226000	11	HTTP
192.168.1.1	TCP 2933	77.75.73.9	TCP 80	1375985422.240013000	2	HTTP
192.168.1.1	TCP 2934	77.75.73.9	TCP 80	1375985422.271509000	2	HTTP
192.168.1.1	TCP 2935	77.75.73.9	TCP 80	1375985422.275917000	2	HTTP
192.168.1.1	TCP 2936	77.75.76.19	TCP 80	1375985422.323690000	11	HTTP
192.168.1.1	TCP 2930	77.75.72.22	TCP 80	1375985422.016727000	8	HTTP
192.168.1.1	TCP 2932	81.0.212.199	TCP 80	1375985422.229574000	4	HTTP
192.168.1.1	TCP 2940	192.168.1.4	TCP 139	1375985463.319022000	15
192.168.1.1	TCP 2941	192.168.1.4	TCP 139	1375985463.326414000	15
192.168.1.1	TCP 2939	173.194.35.69	TCP 80	1375985422.703983000	2	HTTP
192.168.1.1	TCP 2943	217.11.235.70	TCP 80	1375985499.355963000	13	HTTP
192.168.1.1	TCP 2949	217.11.235.110	TCP 80	1375985499.401519000	12	HTTP
192.168.1.1	TCP 2944	217.11.235.70	TCP 80	1375985499.378767000	12	HTTP
192.168.1.1	TCP 2952	217.11.235.95	TCP 80	1375985499.424491000	1	HTTP
192.168.1.1	TCP 2951	81.2.196.211	TCP 80	1375985499.418379000	2	HTTP
192.168.1.1	TCP 2953	217.11.235.95	TCP 80	1375985502.491739000	2	HTTP
192.168.1.1	TCP 2954	173.194.44.237	TCP 80	1375985502.514556000	12	HTTP
192.168.1.1	TCP 2958	173.194.44.224	TCP 80	1375985502.607895000	11	HTTP
192.168.1.1	TCP 2961	88.86.101.2	TCP 80	1375985502.700854000	1	HTTP
192.168.1.1	TCP 2962	92.43.25.100	TCP 80	1375985502.711017000	1	HTTP
192.168.1.1	TCP 2955	173.194.44.250	TCP 80	1375985502.574478000	11	HTTP
192.168.1.1	TCP 2969	195.113.232.82	TCP 80	1375985502.960428000	11	HTTP
192.168.1.1	TCP 2957	81.2.196.211	TCP 80	1375985502.602847000	2	HTTP
192.168.1.1	TCP 2963	88.86.107.65	TCP 80	1375985502.724705000	3	HTTP
192.168.1.1	TCP 2959	217.31.54.18	TCP 80	1375985502.608332000	2	HTTP
192.168.1.1	TCP 2937	86.58.179.98	TCP 80	1375985422.365604000	4	HTTP
192.168.1.1	TCP 2938	173.194.35.65	TCP 443	1375985422.571473000	8	SSL
192.168.1.1	TCP 2965	173.194.44.237	TCP 80	1375985502.858682000	5	HTTP
192.168.1.1	TCP 2964	173.194.44.237	TCP 80	1375985502.858491000	3	HTTP
192.168.1.1	TCP 2967	173.194.44.240	TCP 80	1375985502.897920000	2	HTTP
192.168.1.1	TCP 2972	173.194.35.79	TCP 80	1375985503.055875000	5	HTTP
192.168.1.1	TCP 2973	173.194.44.224	TCP 80	1375985612.462498000	1	HTTP
192.168.1.1	TCP 2974	91.213.160.118	TCP 80	1375985612.498070000	11	HTTP
192.168.1.1	TCP 2977	91.213.160.17	TCP 80	1375985612.774247000	11	HTTP
192.168.1.1	TCP 2978	91.213.160.17	TCP 80	1375985612.774363000	11	HTTP
192.168.1.1	TCP 2979	91.213.160.17	TCP 80	1375985612.774476000	11	HTTP
192.168.1.1	TCP 2995	91.213.160.12	TCP 80	1375985612.806029000	3	HTTP
192.168.1.1	TCP 2988	91.213.160.36	TCP 80	1375985612.795669000	11	HTTP
192.168.1.1	TCP 2990	91.213.160.36	TCP 80	1375985612.805409000	11	HTTP
192.168.1.1	TCP 2992	91.213.160.36	TCP 80	1375985612.805685000	12	HTTP
192.168.1.1	TCP 2991	91.213.160.36	TCP 80	1375985612.805568000	12	HTTP
192.168.1.1	TCP 2989	91.213.160.36	TCP 80	1375985612.805141000	12	HTTP
192.168.1.1	TCP 2993	91.213.160.36	TCP 80	1375985612.805799000	12	HTTP
192.168.1.1	TCP 2994	91.213.160.36	TCP 80	1375985612.805912000	12	HTTP
192.168.1.1	TCP 2996	173.194.44.224	TCP 80	1375985612.836989000	11	HTTP
192.168.1.1	TCP 2976	81.0.212.204	TCP 80	1375985612.773602000	13	HTTP
192.168.1.1	TCP 2998	91.213.160.17	TCP 80	1375985612.997799000	11	HTTP
192.168.1.1	TCP 2986	91.213.160.36	TCP 80	1375985612.795272000	11	HTTP
192.168.1.1	TCP 2997	81.0.212.201	TCP 80	1375985612.967299000	17	HTTP
192.168.1.1	TCP 2999	91.213.160.12	TCP 80	1375985613.193532000	2	HTTP
192.168.1.1	TCP 2985	91.213.160.36	TCP 80	1375985612.795083000	12	HTTP
192.168.1.1	TCP 2950	217.11.235.110	TCP 80	1375985499.401727000	4	HTTP
192.168.1.1	TCP 2948	217.11.235.110	TCP 80	1375985499.401415000	6	HTTP
192.168.1.1	TCP 2947	217.11.235.32	TCP 80	1375985499.397924000	2	HTTP
192.168.1.1	TCP 2946	217.11.235.32	TCP 80	1375985499.397820000	2	HTTP
192.168.1.1	TCP 2945	217.11.235.113	TCP 80	1375985499.389988000	8	HTTP
192.168.1.1	TCP 2942	217.11.235.70	TCP 80	1375985499.334143000	2	HTTP
192.168.1.1	TCP 2960	217.11.235.111	TCP 80	1375985502.621465000	2	HTTP
192.168.1.1	TCP 2970	23.62.237.23	TCP 80	1375985502.961731000	4	HTTP
192.168.1.1	TCP 2956	69.171.237.20	TCP 80	1375985502.601010000	9	HTTP
192.168.1.1	TCP 2966	173.194.44.235	TCP 443	1375985502.864413000	8	SSL
192.168.1.1	TCP 2971	195.113.232.82	TCP 80	1375985502.975636000	2	HTTP
192.168.1.1	TCP 2968	173.194.44.250	TCP 443	1375985502.950835000	8	SSL
192.168.1.1	TCP 3000	217.31.54.18	TCP 80	1375985613.194465000	2	HTTP
192.168.1.1	TCP 3001	90.183.26.66	TCP 80	1375985613.369677000	3	HTTP
192.168.1.1	TCP 2982	91.213.160.17	TCP 80	1375985612.774834000	5	HTTP
192.168.1.1	TCP 2980	91.213.160.17	TCP 80	1375985612.774600000	4	HTTP
192.168.1.1	TCP 2981	91.213.160.17	TCP 80	1375985612.774714000	4	HTTP
192.168.1.1	TCP 2983	91.213.160.36	TCP 80	1375985612.794836000	9	HTTP
192.168.1.1	TCP 2984	91.213.160.36	TCP 80	1375985612.794970000	11	HTTP
192.168.1.1	TCP 2987	91.213.160.36	TCP 80	1375985612.795440000	8	HTTP
192.168.1.1	TCP 2975	173.194.44.240	TCP 80	1375985612.761258000	6	HTTP
192.168.1.1	TCP 3012	108.161.188.224	TCP 80	1375985691.145767000	12	HTTP
192.168.1.1	TCP 3011	108.161.188.224	TCP 80	1375985691.145657000	12	HTTP
