# SPID Algorithm Proof-of-Concept 0.4.6
# Created by Erik Hjelmvik - erik.hjelmvik at gmail.com
# http://sourceforge.net/projects/spid 
# 
# Parsing file: C:\Users\jan.pluskal\sources\netfoxframework\Netfox.Framework2\TestingData\pcap_mix\mix.pcap
# SPID start: 1406123787.487079000
# SPID stop: 1406123814.073680000
# Total time: 00:00:26.5866016
# 
# Total number of sessions: 5198
# 
# Identified protocols summary:
# [protocolName]	[numberOfSessions]
# DNS	2852
# HTTP	2226
# IMAP	8
# MSN	3
# POP	3
# SMTP	23
# SpotifyServer	1
# SSL	60
# UNKNOWN	22
# 
# 
# Configuration:
# config/divergenceThreshold: 2.04
# config/maxSimultaneousSessions: 1000
# config/maxFramesToInspectPerSession: 20
# config/displayAllProtocolModelDivergences: true
# config/timestampFormat: UNIX_TIME
# config/displayLogFile: true
# config/appendUnidirectionalSessions: false
# config/attributeMeters/attributeMeter/AccumulatedDirectionBytesMeter: active
# config/attributeMeters/attributeMeter/ActionReactionFirst3ByteHashMeter: active
# config/attributeMeters/attributeMeter/ByteBitValueMeter: -
# config/attributeMeters/attributeMeter/ByteFrequencyMeter: active
# config/attributeMeters/attributeMeter/ByteFrequencyOfFirstPacketBytesMeter: active
# config/attributeMeters/attributeMeter/BytePairsReocurringCountIn32FirstBytesMeter: active
# config/attributeMeters/attributeMeter/BytePairsReocurringIn32FirstBytesMeter: -
# config/attributeMeters/attributeMeter/BytePairsReocurringOffsetsIn32FirstBytesMeter: -
# config/attributeMeters/attributeMeter/ByteValueOffsetHashOfFirst32BytesInFirst4PacketsMeter: active
# config/attributeMeters/attributeMeter/DirectionByteFrequencyMeter: -
# config/attributeMeters/attributeMeter/DirectionPacketLengthDistributionMeter: active
# config/attributeMeters/attributeMeter/DirectionPacketSizeChange: -
# config/attributeMeters/attributeMeter/First2OrderedFirst4CharWordsMeter: -
# config/attributeMeters/attributeMeter/First2OrderedFirstBitPositionsMeter: active
# config/attributeMeters/attributeMeter/First2OrderedPacketsFirstNByteNibblesMeter: -
# config/attributeMeters/attributeMeter/First2PacketsFirst16ByteHashCountsMeter: -
# config/attributeMeters/attributeMeter/First2PacketsFirst3ByteHashAndPacketLengthMeter: -
# config/attributeMeters/attributeMeter/First2PacketsFirst8ByteHashDirectionCountsMeter: active
# config/attributeMeters/attributeMeter/First2PacketsPerDirectionFirst5BytesDifferencesMeter: -
# config/attributeMeters/attributeMeter/First4DirectionFirstNByteNibblesMeter: -
# config/attributeMeters/attributeMeter/First4OrderedDirectionFirstNByteNibblesMeter: active
# config/attributeMeters/attributeMeter/First4OrderedDirectionInterPacketDelayMeter: -
# config/attributeMeters/attributeMeter/First4OrderedDirectionPacketSizeMeter: -
# config/attributeMeters/attributeMeter/First4PacketsByteFrequencyMeter: active
# config/attributeMeters/attributeMeter/First4PacketsByteReoccurringDistanceWithByteHashMeter: -
# config/attributeMeters/attributeMeter/First4PacketsFirst16BytePairsMeter: -
# config/attributeMeters/attributeMeter/First4PacketsFirst32BytesEqualityMeter: active
# config/attributeMeters/attributeMeter/FirstBitPositionsMeter: active
# config/attributeMeters/attributeMeter/FirstPacketPerDirectionFirstNByteNibblesMeter: -
# config/attributeMeters/attributeMeter/FirstServerPacketFirstBitPositionsMeter: active
# config/attributeMeters/attributeMeter/NibblePositionFrequencyMeter: -
# config/attributeMeters/attributeMeter/NibblePositionPopularityMeter: active
# config/attributeMeters/attributeMeter/PacketLengthDistributionMeter: -
# config/attributeMeters/attributeMeter/PacketPairLengthPrimesMeter: -
# 
# 
# Protocol models:
# [protocolName]	[trainingSessionsCount]	[observationCount]
# BitTorrent	36	294
# DNS	41	154
# eDonkey	34	333
# eDonkeyTCPObfuscation	2646	27440
# eDonkeyUDPObfuscation	2794	8491
# FTP	73	885
# HTTP	121	812
# IMAP	13	113
# IRC	32	308
# ISAKMP	22	175
# MSE	2113	24208
# MSN	23	227
# POP	26	262
# SkypeTCP	683	6662
# SkypeUDP	4617	19920
# SMTP	27	296
# SpotifyP2P	3294	51378
# SpotifyServer	50	675
# SSH	54	577
# SSL	81	734
# 
# 
# [clientIp]	[clientPort]	[serverIp]	[serverPort]	[sessionStartTime]	[inspectedFramesWithPayload]	[identifiedProtocol]
192.168.2.101	TCP 49872	178.237.23.235	TCP 80	1375927487.536261000	2	HTTP
192.168.2.101	TCP 49869	178.237.25.51	TCP 80	1375927419.694784000	3	HTTP
192.168.2.101	TCP 49870	178.237.25.51	TCP 80	1375927419.699605000	2	HTTP
192.168.2.101	TCP 49874	205.188.10.251	TCP 5190	1375927577.720976000	15
192.168.2.101	TCP 49894	94.100.187.191	TCP 80	1375927623.153234000	2	HTTP
192.168.2.101	TCP 49904	46.255.230.138	TCP 80	1375927637.229856000	3	HTTP
192.168.2.101	TCP 49906	81.0.212.203	TCP 80	1375927643.578545000	2	HTTP
192.168.2.101	TCP 49907	88.86.120.9	TCP 80	1375927652.306598000	2	HTTP
fe80::6ca6:c4f5:8338:82b5	UDP 55129	ff02::c	UDP 1900	1375927200.289569000	20
192.168.2.101	TCP 49875	178.237.25.51	TCP 80	1375927599.979196000	5	HTTP
192.168.2.101	TCP 49879	178.237.25.51	TCP 80	1375927599.989984000	2	HTTP
192.168.2.101	TCP 49881	178.237.25.51	TCP 80	1375927599.995010000	3	HTTP
192.168.2.101	TCP 49882	178.237.25.51	TCP 80	1375927599.997375000	2	HTTP
192.168.2.101	TCP 49883	178.237.25.51	TCP 80	1375927599.999973000	2	HTTP
192.168.2.101	TCP 49884	178.237.25.51	TCP 80	1375927600.002344000	2	HTTP
192.168.2.101	TCP 49885	178.237.25.51	TCP 80	1375927600.004574000	2	HTTP
192.168.2.101	TCP 49887	178.237.25.51	TCP 80	1375927600.009572000	2	HTTP
192.168.2.101	TCP 49888	178.237.25.51	TCP 80	1375927600.011929000	2	HTTP
192.168.2.101	TCP 49890	178.237.25.51	TCP 80	1375927600.017635000	2	HTTP
192.168.2.101	TCP 49891	178.237.25.51	TCP 80	1375927600.020105000	2	HTTP
192.168.2.101	TCP 49908	88.86.120.9	TCP 80	1375927653.099554000	10	HTTP
192.168.2.101	TCP 49911	88.86.120.9	TCP 80	1375927721.880570000	2	HTTP
192.168.2.101	TCP 49878	178.237.25.51	TCP 80	1375927599.987663000	3	HTTP
192.168.2.101	TCP 49876	178.237.25.51	TCP 80	1375927599.982431000	2	HTTP
192.168.2.101	TCP 49877	178.237.25.51	TCP 80	1375927599.985319000	2	HTTP
192.168.2.101	TCP 49886	178.237.25.51	TCP 80	1375927600.007165000	2	HTTP
192.168.2.101	TCP 49895	178.237.25.84	TCP 80	1375927630.276056000	4	HTTP
192.168.2.101	TCP 49896	178.237.25.84	TCP 80	1375927630.278803000	4	HTTP
192.168.2.101	TCP 49897	178.237.25.84	TCP 80	1375927630.280084000	2	HTTP
192.168.2.101	TCP 49899	178.237.25.84	TCP 80	1375927630.285266000	2	HTTP
192.168.2.101	TCP 49900	178.237.25.84	TCP 80	1375927630.287170000	2	HTTP
192.168.2.101	TCP 49901	178.237.25.84	TCP 80	1375927630.289527000	4	HTTP
192.168.2.101	TCP 49902	178.237.25.84	TCP 80	1375927630.292097000	3	HTTP
192.168.2.101	TCP 49909	88.86.120.9	TCP 80	1375927721.841084000	2	HTTP
192.168.2.101	TCP 49905	178.237.25.85	TCP 80	1375927643.384619000	4	HTTP
192.168.2.101	TCP 49893	178.237.25.84	TCP 80	1375927621.872535000	10	HTTP
192.168.2.101	TCP 49898	178.237.25.84	TCP 80	1375927630.282915000	4	HTTP
192.168.2.101	TCP 49889	178.237.25.51	TCP 80	1375927600.015228000	4	HTTP
192.168.2.101	TCP 49903	178.237.25.84	TCP 80	1375927630.298595000	4	HTTP
192.168.2.101	TCP 49912	178.237.26.101	TCP 80	1375927749.036427000	3	HTTP
192.168.2.101	TCP 49920	46.255.230.138	TCP 80	1375927902.159092000	5	HTTP
192.168.2.101	TCP 49921	81.0.212.203	TCP 80	1375927906.471496000	2	HTTP
192.168.2.101	TCP 49922	88.86.120.9	TCP 80	1375927907.961440000	2	HTTP
192.168.2.101	TCP 49923	46.255.230.138	TCP 80	1375927909.268125000	3	HTTP
192.168.2.101	TCP 49924	81.0.212.203	TCP 80	1375927912.800534000	2	HTTP
192.168.2.101	TCP 49926	88.86.120.9	TCP 80	1375927914.901690000	3	HTTP
192.168.2.101	TCP 49927	88.86.120.9	TCP 80	1375927914.906214000	3	HTTP
