# SPID Algorithm Proof-of-Concept 0.4.6
# Created by Erik Hjelmvik - erik.hjelmvik at gmail.com
# http://sourceforge.net/projects/spid 
# 
# Parsing file: C:\Users\jan.pluskal\sources\netfoxframework\Netfox.Framework2\ApplicationRecognizer\SPID\SPID_Algorithm_PoC-0-4-6\train\imap_smtp_collector.pcap
# SPID start: 1406128279.566280000
# SPID stop: 1406128280.455871000
# Total time: 00:00:00.8895902
# 
# Total number of sessions: 42
# 
# Identified protocols summary:
# [protocolName]	[numberOfSessions]
# DNS	11
# IMAP	7
# SMTP	22
# UNKNOWN	2
# 
# 
# Configuration:
# config/divergenceThreshold: 2.04
# config/maxSimultaneousSessions: 1000
# config/maxFramesToInspectPerSession: 20
# config/displayAllProtocolModelDivergences: true
# config/timestampFormat: UNIX_TIME
# config/displayLogFile: true
# config/appendUnidirectionalSessions: true
# config/attributeMeters/attributeMeter/AccumulatedDirectionBytesMeter: active
# config/attributeMeters/attributeMeter/ActionReactionFirst3ByteHashMeter: active
# config/attributeMeters/attributeMeter/ByteBitValueMeter: -
# config/attributeMeters/attributeMeter/ByteFrequencyMeter: active
# config/attributeMeters/attributeMeter/ByteFrequencyOfFirstPacketBytesMeter: active
# config/attributeMeters/attributeMeter/BytePairsReocurringCountIn32FirstBytesMeter: active
# config/attributeMeters/attributeMeter/BytePairsReocurringIn32FirstBytesMeter: -
# config/attributeMeters/attributeMeter/BytePairsReocurringOffsetsIn32FirstBytesMeter: -
# config/attributeMeters/attributeMeter/ByteValueOffsetHashOfFirst32BytesInFirst4PacketsMeter: active
# config/attributeMeters/attributeMeter/DirectionByteFrequencyMeter: -
# config/attributeMeters/attributeMeter/DirectionPacketLengthDistributionMeter: active
# config/attributeMeters/attributeMeter/DirectionPacketSizeChange: -
# config/attributeMeters/attributeMeter/First2OrderedFirst4CharWordsMeter: -
# config/attributeMeters/attributeMeter/First2OrderedFirstBitPositionsMeter: active
# config/attributeMeters/attributeMeter/First2OrderedPacketsFirstNByteNibblesMeter: -
# config/attributeMeters/attributeMeter/First2PacketsFirst16ByteHashCountsMeter: -
# config/attributeMeters/attributeMeter/First2PacketsFirst3ByteHashAndPacketLengthMeter: -
# config/attributeMeters/attributeMeter/First2PacketsFirst8ByteHashDirectionCountsMeter: active
# config/attributeMeters/attributeMeter/First2PacketsPerDirectionFirst5BytesDifferencesMeter: -
# config/attributeMeters/attributeMeter/First4DirectionFirstNByteNibblesMeter: -
# config/attributeMeters/attributeMeter/First4OrderedDirectionFirstNByteNibblesMeter: active
# config/attributeMeters/attributeMeter/First4OrderedDirectionInterPacketDelayMeter: -
# config/attributeMeters/attributeMeter/First4OrderedDirectionPacketSizeMeter: -
# config/attributeMeters/attributeMeter/First4PacketsByteFrequencyMeter: active
# config/attributeMeters/attributeMeter/First4PacketsByteReoccurringDistanceWithByteHashMeter: -
# config/attributeMeters/attributeMeter/First4PacketsFirst16BytePairsMeter: -
# config/attributeMeters/attributeMeter/First4PacketsFirst32BytesEqualityMeter: active
# config/attributeMeters/attributeMeter/FirstBitPositionsMeter: active
# config/attributeMeters/attributeMeter/FirstPacketPerDirectionFirstNByteNibblesMeter: -
# config/attributeMeters/attributeMeter/FirstServerPacketFirstBitPositionsMeter: active
# config/attributeMeters/attributeMeter/NibblePositionFrequencyMeter: -
# config/attributeMeters/attributeMeter/NibblePositionPopularityMeter: active
# config/attributeMeters/attributeMeter/PacketLengthDistributionMeter: -
# config/attributeMeters/attributeMeter/PacketPairLengthPrimesMeter: -
# 
# 
# Protocol models:
# [protocolName]	[trainingSessionsCount]	[observationCount]
# BitTorrent	36	294
# DNS	41	154
# eDonkey	34	333
# eDonkeyTCPObfuscation	2646	27440
# eDonkeyUDPObfuscation	2794	8491
# FTP	73	885
# HTTP	121	812
# IMAP	13	113
# IRC	32	308
# ISAKMP	22	175
# MSE	2113	24208
# MSN	23	227
# POP	26	262
# SkypeTCP	683	6662
# SkypeUDP	4617	19920
# SMTP	27	296
# SpotifyP2P	3294	51378
# SpotifyServer	50	675
# SSH	54	577
# SSL	81	734
# 
# 
# [clientIp]	[clientPort]	[serverIp]	[serverPort]	[sessionStartTime]	[inspectedFramesWithPayload]	[identifiedProtocol]
192.168.1.2	TCP 1219	192.168.1.4	TCP 139	1376926809.374298000	8
192.168.1.2	TCP 1220	192.168.1.4	TCP 139	1376926809.382134000	8
192.168.1.1	TCP 1561	147.229.176.14	TCP 25	1376926837.678546000	15	SMTP
192.168.1.2	TCP 1221	147.229.176.14	TCP 25	1376926893.981924000	16	SMTP
192.168.1.2	TCP 1222	147.229.176.14	TCP 25	1376926935.577450000	16	SMTP
192.168.1.2	TCP 1223	77.75.73.170	TCP 143	1376926935.681240000	13	IMAP
192.168.1.1	TCP 1563	77.75.73.170	TCP 143	1376926955.426271000	13	IMAP
192.168.1.1	TCP 1564	147.229.176.14	TCP 25	1376926975.443006000	16	SMTP
192.168.1.2	TCP 1224	77.75.73.170	TCP 143	1376926993.421348000	13	IMAP
192.168.1.2	TCP 1225	147.229.176.14	TCP 25	1376927011.944554000	16	SMTP
192.168.1.1	TCP 1565	147.229.176.14	TCP 25	1376927044.911116000	15	SMTP
192.168.1.2	TCP 1226	147.229.176.14	TCP 25	1376927076.062885000	15	SMTP
192.168.1.2	TCP 1227	147.229.176.14	TCP 25	1376927118.989340000	15	SMTP
192.168.1.3	TCP 1152	147.229.176.14	TCP 25	1376927160.998992000	14	SMTP
192.168.1.3	TCP 1153	147.229.176.14	TCP 25	1376927180.052871000	16	SMTP
192.168.1.3	TCP 1154	77.75.77.170	TCP 143	1376927180.270362000	14	IMAP
192.168.1.2	TCP 1228	147.229.176.14	TCP 25	1376927245.080656000	17	SMTP
192.168.1.3	TCP 1155	77.75.77.170	TCP 143	1376927260.617641000	13	IMAP
192.168.1.1	TCP 1568	147.229.176.14	TCP 25	1376927289.020863000	16	SMTP
192.168.1.2	TCP 1229	147.229.176.14	TCP 25	1376927318.058443000	15	SMTP
192.168.1.3	TCP 1156	147.229.176.14	TCP 25	1376927354.281589000	15	SMTP
192.168.1.4	TCP 1111	147.229.176.14	TCP 25	1376927388.330970000	13	SMTP
192.168.1.4	TCP 1112	147.229.176.14	TCP 25	1376927406.582798000	15	SMTP
192.168.1.1	TCP 1569	147.229.176.14	TCP 25	1376927459.944758000	17	SMTP
192.168.1.1	TCP 1570	147.229.176.14	TCP 25	1376927482.517436000	15	SMTP
192.168.1.4	TCP 1113	77.75.73.170	TCP 143	1376927504.704453000	13	IMAP
192.168.1.3	TCP 1157	147.229.176.14	TCP 25	1376927565.473700000	15	SMTP
192.168.1.4	TCP 1114	147.229.176.14	TCP 25	1376927603.733823000	15	SMTP
192.168.1.3	TCP 1158	147.229.176.14	TCP 25	1376927639.529216000	15	SMTP
192.168.1.1	TCP 1572	147.229.176.14	TCP 25	1376927674.441862000	16	SMTP
192.168.1.4	UDP 55554	10.10.10.1	UDP 53	1376927504.697838000	2	DNS
192.168.1.4	UDP 7337	10.10.10.1	UDP 53	1376927504.690350000	2	DNS
192.168.1.4	UDP 5340	10.10.10.1	UDP 53	1376927388.329466000	2	DNS
192.168.1.4	UDP 24568	10.10.10.1	UDP 53	1376927388.327433000	2	DNS
192.168.1.1	UDP 50237	10.10.10.1	UDP 53	1376927289.019226000	2	DNS
192.168.1.3	UDP 62250	10.10.10.1	UDP 53	1376927180.263402000	2	DNS
192.168.1.3	UDP 61816	10.10.10.1	UDP 53	1376927160.997228000	2	DNS
192.168.1.2	UDP 55576	10.10.10.1	UDP 53	1376926935.679526000	2	DNS
192.168.1.2	UDP 60000	10.10.10.1	UDP 53	1376926893.980221000	2	DNS
192.168.1.1	TCP 1562	77.75.73.170	TCP 143	1376926843.584986000	12	IMAP
192.168.1.1	UDP 63153	10.10.10.1	UDP 53	1376926843.578541000	2	DNS
192.168.1.1	UDP 54211	10.10.10.1	UDP 53	1376926843.570597000	2	DNS
